k6ps14_1.PV;k6t17.PV;k6t15.PV;k6t16.PV;k6p8.PV;k6l2.PV;k6p13.PV;k6t2_1.PV;k6f6x.PV;k0p102_1.PV;k6f6.PV;k6t6.PV;k6t14.PV;k6t3.PV
4.12;151.97;101.04;104.15;4.11;181.56;4.04;418.73;19.82;4;20.54;199.74;384.78;277.36
4.11;152.9;101.77;105.31;4.1;182.12;4.03;417.72;19.75;3.99;20.46;199.99;384.03;276.86
4.11;151.9;101.09;104.17;4.1;181.83;4.03;417.84;19.84;3.99;20.54;199.04;383.71;276.68
4.12;152.28;101.41;104.63;4.12;181.5;4.04;418.1;19.84;4;20.57;199.6;383.83;277.08
4.12;152.4;101.27;104.48;4.11;182.98;4.04;417.26;19.7;4;20.43;199.71;383.63;276.66
4.11;152.22;101.26;104.49;4.11;182.21;4.04;417.2;19.71;3.99;20.43;199.53;383.58;276.56
4.11;152.3;101.18;104.49;4.11;182.32;4.04;417.6;19.69;3.99;20.4;199.52;384.17;276.73
4.11;152.07;100.84;104.19;4.1;183.14;4.03;417.14;19.68;3.99;20.39;199.53;383.77;276.49
4.11;152.21;101.04;104.43;4.1;181.5;4.04;417.29;19.66;3.99;20.37;199.89;384.09;276.52
4.1;152.3;101.03;104.66;4.1;183.22;4.03;417.57;19.79;3.98;20.49;199.79;383.89;276.51
4.09;152.32;100.75;104.43;4.09;182.33;4.02;417.5;19.76;3.97;20.43;199.77;384.19;276.41
4.1;152.33;100.92;104.69;4.1;182.54;4.03;418.11;19.98;3.98;20.66;199.74;383.83;276.67
4.1;152.02;100.58;104.38;4.09;182.87;4.02;418.22;19.91;3.97;20.59;199.38;384.09;276.6
4.1;152.62;100.87;104.85;4.1;181.93;4.02;418.61;19.99;3.97;20.67;199.75;384.4;276.84
4.11;151.84;100.38;104.14;4.1;183.44;4.03;419.07;20.14;3.98;20.82;199.16;383.79;276.89
4.12;152.17;100.7;104.65;4.11;182.68;4.04;419.23;20.1;3.99;20.8;199.53;384.17;277.1
4.12;152.39;100.82;104.7;4.11;182.26;4.04;419.35;20.08;3.99;20.8;199.58;384.34;277.24
4.12;152.13;100.97;104.62;4.11;182.46;4.04;419.09;20.1;3.99;20.81;199.36;383.99;277.12
4.11;152.63;101.42;105.1;4.11;181.95;4.04;419.37;20.14;3.99;20.84;199.76;384.2;277.29
4.11;152.55;101.21;105.01;4.1;182.21;4.03;418.67;20;3.98;20.7;199.51;383.91;276.84
4.12;152.11;101.06;104.62;4.12;182.39;4.05;419.37;20.1;4;20.82;199.32;384.15;277.32
4.12;152.1;100.89;104.45;4.11;181.89;4.04;418.94;19.97;4;20.7;199.26;384.36;277.15
4.13;152.29;101.02;104.48;4.12;183.41;4.05;419.16;19.98;4;20.71;199.76;384.58;277.43
4.13;152.57;101.35;105.09;4.12;182.26;4.05;418.32;19.9;4;20.64;199.66;383.72;277.02
4.12;151.9;101.03;104.64;4.12;182.48;4.05;418.5;19.9;4;20.62;199.27;384.05;277.06
4.13;152.37;101.03;104.73;4.12;182.92;4.05;418.58;19.87;4;20.61;199.51;384.48;277.2
4.13;152.6;100.99;105.07;4.12;182.52;4.05;418.23;19.84;4;20.58;199.74;384.04;276.95
4.11;151.64;99.95;103.86;4.11;182.85;4.04;418.19;19.8;3.99;20.5;199.12;384.13;276.71
